2dDirection, 0x35d
2DToJungle_Played, 0x361
2DToPirateVoyage_Played, 0x365
2DToSkull_Played, 0x369
2DToTortuga_Played, 0x36d
3 Tiki Masks Got_Played, 0x371
Ability_WatchEnabled, 0x375
Actual_PlayerEtickets, 0x379
Adventureland_FilmClip, 0x37d
AI_Slot1_Count_Global, 0x381
AI_Slot1_Global, 0x385
AI_Slot2_Count_Global, 0x389
AI_Slot2_Global, 0x38d
AI_Slot2_GlobalNew, 0x391
AL_, 0x395
AL_AdventurelandProgress, 0x399
AL_BlotInvasionInProgress, 0x39d
AL_BuyCompass_Played, 0x3a1
AL_Chest_NoKey_Played, 0x3a5
AL_ChestPlaceholder_Played, 0x3a9
AL_ChestUnlock_Played, 0x3ad
AL_CompassChestComplete_Played, 0x3b1
AL_CompassChestOpen_Played, 0x3b5
AL_CompassDone_BoughtCompass_Played, 0x3b9
AL_CompassDone_GotTeddy_Played, 0x3bd
AL_CompassDone_Played, 0x3c1
AL_CompassKeyGot, 0x3c5
AL_DaisyTurnInVoodooDoll_Played, 0x3c9
AL_DamienChest_GoldPin, 0x3cd
AL_DamienChest_GoldPin_Persist, 0x3d1
AL_DoorBlocked_Played, 0x3d5
AL_DoorBlocked2_Played, 0x3d9
AL_Enter_Treehouse_Played, 0x3dd
AL_EnterFrontTikiHut_Played, 0x3e1
AL_ExitFrontTikiHut_Played, 0x3e5
AL_FoundTeddy_Played, 0x3e9
AL_GenericPirate_Played, 0x3ed
AL_GildaPostRaceChatter_Played, 0x3f1
AL_GildaRace4_Played, 0x3f5
AL_GotTeddy, 0x3f9
AL_GusPirateProjector_Played, 0x3fd
AL_Henrietta_Lactose_Played, 0x401
AL_InvasionDisabled_Played, 0x405
AL_invasionrepelled, 0x409
AL_JungleShop_HealthUpgrade_Purchased, 0x40d
AL_maskscollected, 0x411
AL_MaskStatus_Played, 0x415
AL_PiratesReturn, 0x419
AL_skiptortuga, 0x41d
AL_Smee_ContaptionGo_TikiSamMad_Played, 0x421
AL_Smee_ContraptionGo_Played, 0x425
AL_Smee_StayingHere_Played, 0x429
AL_Smee_WhatToDo_Played, 0x42d
AL_SuppliesFlowing, 0x431
AL_TeddyBears, 0x435
AL_tikistarted, 0x439
AL_tortugaopened, 0x43d
AL_TreeHouseKey, 0x441
AL_TreeHouseOccupied, 0x445
AL_V1_Additional_Played, 0x449
AL_V1_AnnounceStatus, 0x44d
AL_V1_AntonioHello_Played, 0x451
AL_V1_AntonioLockOut_Played, 0x455
AL_V1_AntonioMore_Played, 0x459
AL_V1_AntonioStashed_Played, 0x45d
AL_V1_AntonioWarning_Played, 0x461
AL_V1_BIgTonyHello_Played, 0x465
AL_V1_BigTonyMore_Played, 0x469
AL_V1_BlakeRandomBarks_Played, 0x46d
AL_V1_BoehlerHello_Played, 0x471
AL_V1_BoehlerMore_Played, 0x475
AL_V1_CompassChestOpened, 0x479
AL_V1_ContraptionReady, 0x47d
AL_V1_ContraptionStatus_Played, 0x481
AL_V1_CrushMoodyReward_Played, 0x485
AL_V1_DaisyHeadIntro_Played, 0x489
AL_V1_DaisyIntroPlayed, 0x48d
AL_V1_DaisyPlayed, 0x491
AL_V1_DamienChestOpened, 0x495
AL_V1_DamienFigureheadSold_Played, 0x499
AL_V1_DamienHeartbroken_Played, 0x49d
AL_V1_DamienLockOut_Played, 0x4a1
AL_V1_DamienReaction_Played, 0x4a5
AL_V1_DamienWarning_Played, 0x4a9
AL_V1_DooOpenDamienHappy_Played, 0x4ad
AL_V1_DooOpenDamienSad_Played, 0x4b1
AL_V1_DooOpenHappy_Played, 0x4b5
AL_V1_DooOpenSad_Played, 0x4b9
AL_V1_DoorNowOpen_Played, 0x4bd
AL_V1_DoorOpenAntonio_Played, 0x4c1
AL_V1_DoorOpenBlake_Played, 0x4c5
AL_V1_DoorOpenHenriettaHappy_Played, 0x4c9
AL_V1_DoorOpenHenriettaOffended_Played, 0x4cd
AL_V1_DoorOpenIan_Played, 0x4d1
AL_V1_DoorOpenJean_Played, 0x4d5
AL_V1_EvanHello_Played, 0x4d9
AL_V1_FindSmee_Played, 0x4dd
AL_V1_FlowerBannerJump, 0x4069
AL_V1_Flowers_Delivered, 0x4e1
AL_V1_FlythroughBark_Played, 0x4e5
AL_V1_FlythroughPlayed, 0x4e9
AL_V1_GotCompass, 0x4ed
AL_V1_GotFigurehead, 0x4f1
AL_V1_GotWheel, 0x4f5
AL_V1_Gus_AskAboutGift_Played, 0x4f9
AL_V1_Gus_FoundBear_Played, 0x4fd
AL_V1_Gus_HaveAllGateParts_Played, 0x501
AL_V1_Gus_KillingPlants_Played, 0x505
AL_V1_Gus_MeltedOne_Played, 0x509
AL_V1_Gus_MeltedThree_Played, 0x50d
AL_V1_Gus_RooftopMaskHint_Played, 0x511
AL_V1_Gus_RooftopMaskHint02_Played, 0x515
AL_V1_Gus_StealMask_Played, 0x519
AL_V1_Gus_StealMaskFeedback_Played, 0x51d
AL_V1_GusScrapperAllClear_Played, 0x521
AL_V1_GusScrapperWarning_Played, 0x525
AL_V1_IanLockOut_Played, 0x529
AL_V1_IanRandomBarks_Played, 0x52d
AL_V1_IanWarning_Played, 0x531
AL_V1_IceCream_Delivered, 0x535
AL_V1_IceCreamDelivered_Played, 0x539
AL_V1_IceCreamYouBuyNow, 0x53d
AL_V1_JeanKeyBought, 0x541
AL_V1_JeanMarcKey_Played, 0x545
AL_V1_JeanMarcSecret_Played, 0x549
AL_V1_JeanMarkHello_Played, 0x54d
AL_V1_JeanMarkMore_Played, 0x551
AL_V1_Mask1AlreadyTurnedIn, 0x555
AL_V1_Mask2AlreadyTurnedIn, 0x559
AL_V1_Mask3AlreadyTurnedIn, 0x55d
AL_V1_MaskStatusBad_Played, 0x561
AL_V1_MickeyScrapper, 0x565
AL_V1_MoreInfo_Played, 0x569
AL_V1_NotSoBad_Played, 0x56d
AL_V1_OneEyeIan_MaskHint_Played, 0x571
AL_V1_RangedRhym_Played, 0x575
AL_V1_ReturnFlowersorCream_Played, 0x579
AL_V1_Sam_BackDoorReminder_Played, 0x57d
AL_V1_SamBackDoorIntroduction_Played, 0x581
AL_V1_SteveHello_Played, 0x585
AL_V1_SteveMore_Played, 0x589
AL_V1_StinkyIntro_Played, 0x58d
AL_V1_StinkyMore_Played, 0x591
AL_V1_Store_Bad_Played, 0x595
AL_V1_Store_Played, 0x599
AL_V1_StrongAdditonal_Played, 0x59d
AL_V1_StrongHello_Played, 0x5a1
AL_V1_Tiki_IntorBarks_Played, 0x5a5
AL_V1_Tiki_JustMetBarks_Played, 0x5a9
AL_V1_ToMSUSAZoneM_Played, 0x5ad
AL_V1_TooManyMasks_Played, 0x5b1
AL_V1_ToPirates_Played, 0x5b5
AL_V2_Antonio_Additional_Played, 0x5b9
AL_V2_Antonio_Hello_Played, 0x5bd
AL_V2_AntonioRiverReward_Played, 0x5c1
AL_V2_BarrelsDestroyed, 0x5c5
AL_V2_Billy_Additional_Played, 0x5c9
AL_V2_Billy_Hello_Played, 0x5cd
AL_V2_BlakeHouse_Played, 0x5d1
AL_V2_BlakeHouseChatter_Played, 0x5d5
AL_V2_BlakeMoved, 0x5d9
AL_V2_Boehler_Additional_Played, 0x5dd
AL_V2_Boehler_Hello_Played, 0x5e1
AL_V2_BosunBlakeMoving_SilverPin, 0x5e5
AL_V2_BosunBlakeMoving_SilverPin_Persist, 0x5e9
AL_V2_Can't Move In_Played, 0x5ed
AL_V2_Constance_Additional_Played, 0x5f1
AL_V2_Constance_Hello_Played, 0x5f5
AL_V2_Daisy_Album_Played, 0x5f9
AL_V2_Daisy_AlbumComplete_Played, 0x5fd
AL_V2_Daisy_AlbumFollowup_Played, 0x601
AL_V2_Daisy_AlbumIdle_Played, 0x605
AL_V2_DamienCycleBarks_Played, 0x609
AL_V2_DamienSaltMoving_SilverPin, 0x60d
AL_V2_DamienSaltMoving_SilverPin_Persist, 0x611
AL_V2_DamienSaltTiki_SilverPin, 0x615
AL_V2_DamienSaltTiki_SilverPin_Persist, 0x619
AL_V2_Darvin_Additional_Played, 0x61d
AL_V2_Didn'tGetHookedUp_Played, 0x621
AL_V2_Dolly_Additional_Pirates_Played, 0x625
AL_V2_Dolly_Additional_Played, 0x629
AL_V2_FlythroughPlayed, 0x62d
AL_V2_FootprintBuzzOff_Played, 0x631
AL_V2_Footprintcase3finish_Played, 0x635
AL_V2_Footprintsellstolen_Played, 0x639
AL_V2_GotIcecream, 0x63d
AL_V2_GotTikiGift, 0x641
AL_V2_HateDamien_Played, 0x645
AL_V2_Housequery_Played, 0x649
AL_V2_Housewarming_Played, 0x64d
AL_V2_HousewarmingComplete, 0x651
AL_V2_HutShopOpened, 0x655
AL_V2_IceCreamReminder_Played, 0x659
AL_V2_IntheHouse_Played, 0x65d
AL_V2_IntheHouseOLD_Played, 0x661
AL_V2_Jean_Additional_Played, 0x665
AL_V2_Jean_Hello_Played, 0x669
Al_V2_Jim_Hello_Played, 0x66d
AL_V2_JimAdditional_Played, 0x671
AL_V2_JimIdleChat_Played, 0x675
AL_V2_JimthePuzzledRiddle_GoldPin, 0x679
AL_V2_JimthePuzzledRiddle_GoldPin_Persist, 0x67d
AL_V2_Maria_Additional1_Played, 0x681
AL_V2_Maria_Hello1_Played, 0x685
AL_V2_Mask1Got, 0x689
AL_V2_Mask2Got, 0x359
AL_V2_Mask3Got, 0x691
AL_V2_MaskSketchProduced, 0x695
AL_V2_MeanStreetReturnComplete, 0x699
AL_V2_MissDamien_Played, 0x69d
AL_V2_MissDamienFin_Played, 0x6a1
AL_V2_MissDamienMore_Played, 0x6a5
AL_V2_MoveInReminder_Played, 0x6a9
AL_V2_MoveInTogether_Played, 0x6ad
AL_V2_MovingIn_Played, 0x6b1
AL_V2_MSRiddleComplete_Played, 0x6b5
AL_V2_MSUpdate, 0x6b9
AL_V2_NotEnoughParts_Played, 0x6bd
AL_V2_PlantCount, 0x6c1
AL_V2_PlantsDone_Played, 0x6c5
AL_V2_PlantsinProgress_Played, 0x6c9
AL_V2_PlantsQuest_Played, 0x6cd
AL_V2_PuzzleMaskUpdate_Played, 0x6d1
AL_V2_RadioRiddle_Played, 0x6d5
AL_V2_RadioRiddleComplete_Played, 0x6d9
AL_V2_ReAssemble_Played, 0x6dd
AL_V2_Rickey_Hello_Played, 0x6e1
AL_V2_Ricky_Additional_Played, 0x6e5
AL_V2_Riddle_Played, 0x6e9
AL_V2_ScurvyPatHello_Played, 0x6ed
AL_V2_ScurvyPatMore_Played, 0x6f1
AL_V2_SteveHello_Played, 0x6f5
AL_V2_SteveMore_Played, 0x6f9
AL_V2_Strong_Additional_Played, 0x6fd
AL_V2_ThanksforGift_Played, 0x701
AL_V2_WantToMoveInWithDamien_Played, 0x705
AL_V2_WilliamRiverReward_Played, 0x709
AL_V2MasksCollected, 0x70d
AL_V3_Constance_Played, 0x711
AL_V3_Darvin_Played, 0x715
AL_V3_EnemiesKilled, 0x719
AL_V3_FirstHeartAppears_Played, 0x71d
AL_V3_FirstWaveDown, 0x721
AL_V3_Hello_Played, 0x725
AL_V3_InavasionHelp01_Played, 0x729
AL_V3_InavasionHelp02_Played, 0x72d
AL_V3_InvasionOver_Played, 0x731
AL_V3_InvasionStart_Played, 0x735
AL_V3_PiratesPresent, 0x739
AL_V3_Ricky_Played, 0x73d
AL_V3_StrangeRitual_Played, 0x741
AL_V3_Tent1Alive, 0x745
AL_V3_Tent2Alive, 0x749
AL_V3_Tent3Alive, 0x74d
AL_V3_Tent4Alive, 0x751
AL_V3_Tent4Alive2, 0x755
AL_V3_Tent5Alive, 0x759
AL_V3_TentsLeft, 0x75d
AL_V3_TikiProxy_Played, 0x761
AL_V3_Wave3_Played, 0x765
AL_VisitNum, 0x769
Alpine01_Left_Projector_Played, 0x76d
Alpine01_Right_Projector_Played, 0x771
AlwaysFalse, 0x775
AlwaysTrue, 0x779
AsiaToSBW_Played, 0x77d
Attic_Gus_ButtonsFailed_Played, 0x781
Attic_Gus_FirstButton_Played, 0x785
Attic_Gus_GiveQuest_Played, 0x789
Attic_Gus_KillHint01_Played, 0x78d
Attic_Gus_ProjectorExitActivated_Played, 0x791
Attic_Gus_Spawner01_Barks_Played, 0x795
Attic_Gus_Spawner02_Barks_Played, 0x799
Attic_Gus_Spawner02_Played, 0x79d
Attic_Gus_Spawner03_Barks_Played, 0x7a1
Attic_Gus_Track01Repair_Played, 0x7a5
Attic_Gus_TVButtonHelp_Played, 0x7a9
Attic_MD_Intro01_Played, 0x7ad
Attic_MD_Outro01_Played, 0x7b1
Attic_MD_SpawnerAlreadyDead_Played, 0x7b5
BadGears, 0x7b9
Ballroom_Gremlin_Help_Chatter_Played, 0x7bd
Ballroom_Gremlin_Help_Played, 0x7c1
Ballroom_Gremlin_Passive_Played, 0x7c5
Ballroom_Gremlin_Thanks_Played, 0x7c9
